Question,Answer,Page
 ความหนาในการใช้งาน (Application Thickness) สำหรับงานซ่อมแซมด้วย Bee Brand No. 135/135 F ในแนวดิ่งและเหนือศีรษะคือเท่าใด,- แนวดิ่ง (Vert.): 4 - 30/40 มม.- เหนือศีรษะ (Overhead): 4 - 20/30 มม., 115
 อัตราส่วนผสม (Mix Ratio) ของ Bee Brand No. 135/135 F คือเท่าใด, อัตราส่วนผสมน้ำ : ผงปูน คือ 17 - 19 % โดยน้ำหนัก, 114
 ค่ากำลังอัด (Compressive strength) ของ Bee Brand No. 135/135 F ที่อายุ 1 วัน และ 28 วัน ตามมาตรฐาน ASTM C109 คือเท่าใด,"- 1 วัน: 25 MPa (3,500 psi)- 28 วัน: 60 MPa (7,300 psi)", 115
 อัตราส่วนผสมน้ำสำหรับ Sika Skim Coat สีเทา และ สีขาว แตกต่างกันอย่างไร,- สำหรับสีเทา: ใช้น้ำ 7.0 - 7.4 ลิตร (35% - 37%) ต่อ Sika Skim Coat 1 ถุง (20 กก.)- สำหรับสีขาว: ใช้น้ำ 7.4 - 7.8 ลิตร (37% - 39%) ต่อ Sika Skim Coat 1 ถุง (20 กก.), 46
 ระยะเวลาการทำงาน (Pot Life) ของ Sika Skim Coat ที่อุณหภูมิ 30°C คือเท่าใด, ประมาณ 45 นาที ที่อุณหภูมิ 30°C, 46
 ความหนาในการฉาบ Sika Skim Coat ต่อการใช้งานคือเท่าใด, ความหนาในการฉาบประมาณ 0.5 - 2.0 มม. โดยอาจฉาบได้มากกว่าหนึ่งชั้นขึ้นอยู่กับพื้นผิวที่ต้องการ, 46
 Sikadur-31 CF Normal เหมาะสำหรับการใช้งานประเภทใดบ้าง," เหมาะสำหรับใช้เป็นกาวติดโครงสร้าง (Structural adhesive) และมอร์ตาร์สำหรับซ่อมแซม (Repair mortar) เช่น:- ชิ้นส่วนคอนกรีต- หินธรรมชาติ- เซรามิก, ไฟเบอร์ซีเมนต์- เหล็ก, อลูมิเนียม- การซ่อมมุมและขอบ, การอุดรูและโพรง", 47
 อัตราส่วนผสม (Mixing Ratio) ของ Sikadur-31 CF Normal คือเท่าใด, ส่วนผสม A : ส่วนผสม B = 2 : 1 โดยน้ำหนักหรือปริมาตร, 50
 ความหนาสูงสุด (Max Layer Thickness) ในการใช้งาน Sikadur-31 CF Normal คือเท่าใด, ความหนาสูงสุด 30 มม. (สำหรับการใช้งานบนพื้นผิวแนวตั้ง วัสดุจะไม่ไหลย้อยที่ความหนาไม่เกิน 15 มม.), 48
 การเตรียมพื้นผิวเหล็ก (Steel Substrate Preparation) ก่อนใช้งาน Sikadur-31 CF Normal ต้องทำอย่างไร, พื้นผิวเหล็กต้องได้รับการทำความสะอาดและเตรียมผิวให้ได้คุณภาพที่ยอมรับได้ โดยการพ่นทราย (Blastcleaning) ให้ได้ระดับ Sa 2.5 และระวังเรื่องจุดน้ำค้าง (Dew point), 50
 ระยะเวลา Potlife ของ Sikadur-31 CF Normal (ขนาด 200 กรัม) ที่อุณหภูมิ +30°C คือกี่นาที, ประมาณ 35 นาที, 51
 Sikadur-41 CF Normal ประกอบด้วยส่วนผสมกี่ส่วน และอัตราส่วนการผสมโดยน้ำหนักคือเท่าใด, เป็นมอร์ตาร์ชนิด 3 ส่วนผสม (3-part) อัตราส่วนการผสมโดยน้ำหนักคือ Part A : B : C = 2 : 1 : 2.5," 52, 55"
 ช่วงอุณหภูมิที่เหมาะสมในการใช้งาน Sikadur-41 CF Normal คือเท่าใด, ระหว่าง +10°C ถึง +30°C, 52
 ค่าแรงยึดเกาะ (Bond Strength) ของ Sikadur-32TH ต่อคอนกรีตและเหล็กเป็นเท่าใด,- ต่อคอนกรีต: 2.5 - 3 N/mm² (Concrete failure)- ต่อเหล็ก: 18 - 20 N/mm², 59
 ระยะเวลา Open Time ของ Sikadur-32TH ที่อุณหภูมิ 30°C และ 40°C คือเท่าใด,- ที่ 30°C: 60 นาที- ที่ 40°C: 40 นาที, 59
 ความกว้างสูงสุดของรอยแตกร้าวที่เหมาะสมสำหรับการอัดฉีดด้วย Sikadur-52TH คือเท่าใด, ความกว้างสูงสุดของรอยแตกร้าวคือ 5 มม., 60
 อายุต่ำสุดของคอนกรีตใหม่ที่จะสามารถใช้ผลิตภัณฑ์ Sikadur-52TH ได้คือเท่าใด, 3 - 6 สัปดาห์, 60
 อัตราส่วนผสม (Mixing Ratio) ของ Sikadur-52TH โดยน้ำหนักคือเท่าใด, ส่วนผสม A : ส่วนผสม B = 2 : 1 โดยน้ำหนัก, 61
 การเตรียมพื้นผิวก่อนลง Conpatch 300 ต้องทำอย่างไรกับความชื้นของคอนกรีต, ต้องพรมน้ำให้ทั่วพื้นผิวคอนกรีตที่จะซ่อมแซมจนอิ่มตัว (Saturate with clean water) จนกระทั่งคอนกรีตไม่สามารถดูดซับน้ำได้อีก และห้ามปล่อยให้พื้นผิวแห้งก่อนลง Conpatch 300, 62
 การใช้งาน Conpatch 300 ในแต่ละชั้นควรมีความหนาเท่าใด, ควรทำงานเป็นชั้นบางๆ โดยมีความหนาน้อยกว่า 2 มม. ต่อชั้น, 62
 Condur SC ใช้สำหรับงานประเภทใด, ใช้สำหรับอัดฉีด (Inject) เข้าไปในรอยแตกร้าวและโพรงในคอนกรีต เพื่อเชื่อมประสานโครงสร้าง (Structural binder) เช่น เสา คาน ฐานราก และโครงสร้างรับแรงดันน้ำ, 70
 อัตราส่วนผสม (Mix Ratio) ของ Condur SC โดยน้ำหนักและโดยปริมาตรคือเท่าใด,- โดยน้ำหนัก A : B = 4 : 1- โดยปริมาตร A : B = 3 : 1, 69
 ข้อจำกัดเรื่องความกว้างของรอยร้าว (Crack Width) สำหรับการใช้งาน Condur SC ตาม Method Statement คือเท่าใด, ความกว้างรอยร้าวต่ำสุดประมาณ 0.5 มม. และความกว้างสูงสุดไม่ควรเกิน 5 มม., 72
 ขั้นตอนการอัดฉีด Condur SC สำหรับรอยร้าวแนวดิ่ง (Vertical cracks) คืออย่างไร, เริ่มปั๊มอีพ็อกซี่เข้าสู่จุดติดตั้ง (Entry port) ที่อยู่ต่ำที่สุด อัดฉีดจนกว่าวัสดุจะไหลออกมาที่ Packer ตัวถัดไป จากนั้นถอดสายและเริ่มอัดฉีดที่ Packer ตัวถัดไป ทำซ้ำกระบวนการนี้, 72
 ค่า Tensile Strength และ Flexural Strength ของ Condur SC คือเท่าใด,- Tensile Strength: > 25 N/mm²- Flexural Strength: > 50 N/mm², 70
 ระยะเวลาการบ่มตัวของ Condur SC ก่อนที่จะทำการถอด Entry ports คือเท่าใด, หลังจาก Condur SC แข็งตัวเป็นเวลา 24 ชั่วโมง, 72
 ระยะเวลา Potlife ของ Condur SC คือเท่าใด, 50 - 70 นาที, 70
 การ Overcoating สำหรับ Renderoc Skimcoat สามารถทำได้เมื่อใด, สามารถทำได้หลังจากประมาณ 48 ชั่วโมง ขึ้นอยู่กับสภาวะแวดล้อม, 99
 Renderoc Skimcoat (Finish Coat) ควรใช้เมื่อใด, ควรใช้เมื่อต้องการพื้นผิวที่เรียบเนียนมาก (Very smooth finish) โดยฉาบทับเพื่อให้ได้พื้นผิวที่ต้องการก่อนที่ชั้น Skimming coat จะบ่มตัว, 99
 หากอุณหภูมิแวดล้อมสูงกว่า 35°C ควรทำอย่างไรเมื่อใช้งาน Renderoc Skimcoat, ควรเก็บวัสดุไว้ในที่ร่ม (Shade) และใช้น้ำเย็นในการผสม, 99
