Rainbow Group,Category,Question,Answer,Page,predicted_keyword_Page,predicted_keyword_PageRecall,predicted_keyword_PagePrec,predicted_keyword_Hit,predicted_vector_Page,predicted_vector_PageRecall,predicted_vector_PagePrec,predicted_vector_Hit,predicted_fused_Page,predicted_fused_PageRecall,predicted_fused_PagePrec,predicted_fused_Hit
 Non-Construction Questions, Document Control,"Question (TH) :เอกสาร ""Guideline for Repair"" มีรหัสเอกสาร (Document No.) อะไร และเป็นการแก้ไขฉบับที่เท่าใด (Issue) วันที่เท่าใด",Answer (TH) :1. รหัสเอกสาร: TB-RP-012. ฉบับที่: Issue 23. วันที่: 20/6/2017, 2,"5, 25, 4, 3, 6",0.0,0.0,0,"25, 1, 40, 33, 7",0.0,0.0,0,"25, 5, 142, 1, 4",0.0,0.0,0
 Construction-Related, Material / Material Data Sheet,Question (TH) :วัสดุ Sikadur 31 CF Normal ที่ใช้ในการซ่อมแซม มีค่า Potlife (ขนาด 200g) ที่อุณหภูมิ +30°C นานเท่าใด และตาม Data Sheet สามารถใช้กับพื้นผิวคอนกรีตที่มีความชื้นได้หรือไม่,Answer (TH) :1. Potlife (+30°C): ประมาณ 35 นาที2. การใช้งานกับพื้นผิวชื้น: สามารถใช้ได้ (Suitable for dry and damp concrete surfaces)," 47, 51","26, 47, 55, 52",0.5,0.25,1,"50, 55, 47",0.5,0.3333,1,"47, 55, 50, 26",0.5,0.25,1
 Construction-Related, Repair Method / Material,"Question (TH) :หากพบรูฟองอากาศ (Blowholes) ลึก 12 มม. ต้องใช้วิธีซ่อมแซมรหัสใด และหากใช้วัสดุ ""ปูนฉาบตราผึ้ง 135F"" จะต้องผสมน้ำในอัตราส่วนเท่าใด",Answer (TH) :1. วิธีซ่อมแซม: RP-TN-05 (Repair with High Strength Mortar) เนื่องจากความลึก > 10 มม.2. อัตราส่วนผสม: ปูน : น้ำ = 1 : 0.18 โดยน้ำหนัก," 6, 40","8, 39, 40, 114, 61",0.5,0.2,1,"114, 115, 33, 40, 41",0.5,0.2,1,"114, 40, 39, 102, 8",0.5,0.2,1
 Construction-Related, Material / Environmental / Preventive Measures,Question (TH) :หากวัสดุ Conpatch 300 (วัสดุซ่อมแบบผง) รั่วไหลลงสู่พื้นดินเป็นจำนวนมาก มาตรการป้องกันและแก้ไขตามเอกสารสิ่งแวดล้อมระบุให้ดำเนินการอย่างไร,Answer (TH) :1. เปลี่ยนบรรจุภัณฑ์หรือภาชนะที่ปิดมิดชิดได้ แล้วขนย้ายออกจากจุดที่รั่วไหล2. กวาดวัสดุที่รั่วไหลกองรวมกัน แล้วใช้ผ้าหรือกระสอบคลุมกองวัสดุเพื่อป้องกันการฟุ้งกระจาย3. ตักวัสดุซ่อมใส่ถุงดำทิ้งในพื้นที่สำหรับทิ้งสารเคมี, 136,"8, 62, 130, 18, 34",0.0,0.0,0,"135, 62, 130, 136",1.0,0.25,1,"62, 130, 8, 135",0.0,0.0,0
 Construction-Related, Human Risk / Material Safety Data,Question (TH) :หากผิวหนังสัมผัสกับ Sikadur 41 CF Normal (Part B) จนเกิดการไหม้หรือระคายเคือง ตามข้อมูลความปลอดภัย (Material Safety Data) ต้องปฐมพยาบาลอย่างไร และระบุว่าหากไม่ทำการรักษาจะเกิดผลเสียอย่างไร,Answer (TH) :1. การปฐมพยาบาล: ถอดเสื้อผ้าที่ปนเปื้อนออก แล้วล้างตัวด้วยสบู่และน้ำ แล้วพบแพทย์ทันที2. ผลเสียหากไม่รักษา: หากโดนกัดกร่อนจนเป็นแผลแล้วไม่ทำการรักษา จะทำให้แผลสมานตัวช้า, 127,"55, 52, 26, 126, 137",0.0,0.0,0,"127, 128, 129, 125, 126",1.0,0.2,1,"129, 126, 55, 127, 52",1.0,0.2,1
 Construction-Related, Repair Method / Repair Tools,Question (TH) :ในขั้นตอนการเตรียมผิวสำหรับซ่อมรอยร้าวด้วย Epoxy Resin (RP-TN-02) จะต้องใช้เครื่องมือใดในการเซาะร่อง และต้องเซาะร่องให้มีขนาดความกว้างเท่าใด,Answer (TH) :1. เครื่องมือ: เครื่องตัดและใบตัดคอนกรีต2. ขนาดความกว้างร่อง: 3-5 มม. (โดยประมาณ)," 17, 19","16, 15, 7, 3, 29",0.0,0.0,0,"16, 20, 19, 17, 10",1.0,0.4,1,"16, 15, 20, 7, 19",0.5,0.2,1
 Construction-Related, Guideline for Repair / Repair Method,"Question (TH) :หากเกิดรอยแตกบิ่นที่ขอบ (Spalling Edge) โดยมีขนาด A=30 มม. B=30 มม. ซึ่งอยู่ในเกณฑ์ซ่อมได้ แต่จากการตรวจสอบพบว่า ""เหล็กเสริมโผล่"" (Rebar exposed) จะต้องดำเนินการซ่อมแซมด้วยวิธีใด",Answer (TH) :Action: Reject (ปฏิเสธชิ้นงาน/ไม่ซ่อมแซม), 4,"4, 6, 61, 46, 5",1.0,0.2,1,"4, 3, 25, 31, 28",1.0,0.2,1,"4, 6, 3, 61, 25",1.0,0.2,1
 Construction-Related, Human Risk / Risk Assessment,Question (TH) :ตามการประเมินความเสี่ยง (Risk Assessment) เรื่องอันตรายจากการกลืนสารเคมี มีข้อห้ามเกี่ยวกับอาหารในพื้นที่ทำงานอย่างไรเพื่อลดความเสี่ยง,Answer (TH) :ห้ามนําอาหารมารับประทานในพื้นที่ทำงานโดยเด็ดขาด, 122,"122, 120, 121, 123",1.0,0.25,1,"122, 121, 131, 128, 132",1.0,0.2,1,"122, 121, 120, 131",1.0,0.25,1
 Construction-Related, Material / Repair Method,"Question (TH) :วัสดุ ""Renderoc Skim Coat"" เป็นของแบรนด์ใด และได้รับการอนุมัติใช้งาน (Status) หรือไม่ ตามตารางรายการวัสดุซ่อม (Material List) ที่ระบุใน Guideline",Answer (TH) :1. แบรนด์: FOSROC2. สถานะ: ได้รับการอนุมัติใช้งาน, 8,"8, 135, 98, 18, 27",1.0,0.2,1,"98, 34, 8, 99, 100",1.0,0.2,1,"8, 98, 34, 18, 27",1.0,0.2,1
 Non-Construction Questions, Project Information,Question (TH) :ชื่อโครงการก่อสร้างที่ระบุอยู่ในส่วนหัวของเอกสาร Risk Assessment คือโครงการอะไร และใช้รหัสเอกสาร (Document No.) อะไรสำหรับเอกสาร Preventative Measures,Answer (TH) :1. ชื่อโครงการ: โครงการก่อสร้างอุโมงค์ระบายน้ำจากบึงหนองบอนลงสู่แม่น้ำเจ้าพระยา (Project: Sewerage Tunnel Bung Nong Bon to Chaophraya River)2. รหัสเอกสาร Preventative Measures: EV-TN-01," 120, 134","134, 122, 120, 121, 135",1.0,0.4,1,"122, 121, 120, 123, 134",1.0,0.4,1,"122, 134, 121, 120, 135",1.0,0.4,1
